Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
49893,Invenergy Services LLC,60314,Prairie Breeze III,52016 Highway 70,Elgin,NE,68636,Antelope,41.987656,-98.210401,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Southwest Public Power Dist,17692,NE,230, , ,N,,,,,,,
60947,Tesla Inc.,60823,South Sioux City Solar,1635 C Ave,Dakota,NE,68776,Dakota,42.45847,-96.439688,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Nebraska Public Power District,13337,NE,1, , ,N,,,,,,,
60578,"CCC Hastings Renewable Energy, LLC",60931,CCC Hastings Wind Turbine,3106 Academic Dr.,Hastings,NE,68901,Adams,40.57,-98.334,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF-16-219-000,N,,,,,City of Hastings - (NE),8245,NE,13.8, , ,N,,,,,,N,N
60577,"Creston Ridge, LLC",60932,Creston Ridge Wind Farm,45248 205th Ave,Creston,NE,68631,Platte,41.678,-97.386,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF-15-251-000,N,,,,,Loup River Public Power Dist,11251,NE,34.5, , ,N,,,,,,N,N
61275,Seward Wind LLC,61056,Seward Wind Farm,1454 350th Road,Seward,NE,68434,Seward,40.895,-97.1951,MRO,SWPP,Southwest Power Pool,NA,22,NR,2,IPP Non-CHP,N,,Y,QF17-472-000,N,,N,X,,City of Seward - (NE),16953,NE,12.47, , ,N,,,,,,X,X
60776,Aksamit Resource Management,61159,Milligan III Wind Farm,TBD,Milligan,NE,68406,Saline,40.500672,-97.198089,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,,
61042,Cottonwood Wind Project,61407,Cottonwood Wind Energy Center,2045 Road 1800,Blue Hill,NE,68930,Webster,40.240168,-98.405956,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,115, , ,N,,,,,,,
61077,"IGS ORIX Solar I, LLC",61467,City of Lexington,2601 South Taft Street,Lexington,NE,68850,Dawson,40.757,-99.734,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF17-1030,N,,N,X,,City of Lexington - (NE),10967,NE,34.5, , ,N,,,,,,,
56769,Consolidated Edison Development Inc.,61511,Burt County Wind,TBD,Oakland,NE,68045,Burt,41.886,-96.345,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF17-1544,N,,,,,Omaha Public Power District,14127,NE,161, , ,N,,,,,,,
61280,"Creston Ridge II, LLC",61668,"Creston Ridge II, LLC",45248 205th Ave,Creston,NE,68631,Platte,41.677,-97.391,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF16-218-000,N,,,,,Loup River Public Power Dist,11251,NE,34.5, , ,N,,,,,,N,N
61288,"Perennial Wind, LLC",61677,Perennial Windfarm,2008 Rd. 12,Fairmont,NE,68354,Fillmore,40.631872,-97.642708,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF-16-1248-000,N,,,,,Perennial Public Power Dist,21111,NE,12.47, , ,N,,,,,,N,N
49893,Invenergy Services LLC,61784,Upstream Wind Energy LLC,853rd Rd,Neligh,NE,68756,Antelope,42.184336,-97.964978,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,NPPD, ,NE,115, , ,N,,,,,,,
60520,SoCore Energy LLC,61884,Kearney NPPD Solar Project,3901 Antelope Avenue,Kearney,NE,68847,Buffalo,40.721688,-99.041196,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,17-683-000,N,,,,,Nebraska Public Power District,13337,NE,34.5, , ,N,,,,,,,
61502,"Sholes Wind Energy Center, LLC",61889,Sholes Wind Energy Center,56006 858th Rd,Randolph,NE,68771,Wayne,42.3119,-97.3647,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Nebraska Public Power District,13337,NE,345, , ,N,,,,,,N,N
61845,"Polk County Renewables, LLC",62333,"Polk County Renewables, LLC",12908 N Rd,Osceola,NE,68651,Polk,41.165278,-97.570194,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,Y,QF16-1249-001,N,,,,,Polk County Rural Pub Pwr Dist,15188,NE,34.5, , ,N,,,,,,N,N
62633,"Plum Creek Wind, LLC",62711,Plum Creek Wind Project (NE),56660 851st Road,Winside,NE,68790,Wayne,42.16159,-97.203789,MRO,SWPP,Southwest Power Pool,,22,NR,2,IPP Non-CHP,N,,N,,N,,,,,Norris Public Power District,13664,NE,345, , ,N,,,,,,,
