Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
2022,NE,"Electric Generators, Electric Utilities",Other Biomass,11,2,11.2,11
2022,NE,"Electric Generators, Electric Utilities",Petroleum,98,39,428.9,364.1
2022,NE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,3,2,3.8,2.6
2022,NE,"Electric Generators, Electric Utilities",Wind,3,2,60.6,60.8
2022,NE,"Electric Generators, Independent Power Producers",All Sources,55,44,3506.3,3499.4
2022,NE,"Electric Generators, Independent Power Producers",Other,4,4,5,3.9
2022,NE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,11,11,37.9,38
2022,NE,"Electric Generators, Independent Power Producers",Wind,40,32,3463.4,3457.5
2022,NE,Industrial Power,All Sources,3,3,84.3,73.9
2022,NE,Industrial Power,Coal,3,3,84.3,73.9
2022,NE,Total Electric Power Industry,All Sources,309,125,11353.1,10800
2022,NE,Total Electric Power Industry,Coal,17,10,3982.9,3845.6
2022,NE,Total Electric Power Industry,Hydroelectric,20,10,329.9,279.7
2022,NE,Total Electric Power Industry,Natural Gas,95,33,2224,1962.3
2022,NE,Total Electric Power Industry,Nuclear,1,1,801,770
2022,NE,Total Electric Power Industry,Other,4,4,5,3.9
2022,NE,Total Electric Power Industry,Other Biomass,17,4,15.7,15.5
2022,NE,Total Electric Power Industry,Petroleum,98,39,428.9,364.1
2022,NE,Total Electric Power Industry,Solar Thermal and Photovoltaic,14,13,41.7,40.6
2022,NE,Total Electric Power Industry,Wind,43,34,3524,3518.3
2023,NE,Commercial Power,All Sources,6,2,4.5,4.5
2023,NE,Commercial Power,Other Biomass,6,2,4.5,4.5
2023,NE,"Electric Generators, Electric Utilities",All Sources,237,76,7750.5,7202.5
2023,NE,"Electric Generators, Electric Utilities",Coal,14,7,3898.6,3756.9
2023,NE,"Electric Generators, Electric Utilities",Hydroelectric,20,10,329.9,279.7
2023,NE,"Electric Generators, Electric Utilities",Natural Gas,91,32,2218.2,1958.4
2023,NE,"Electric Generators, Electric Utilities",Nuclear,1,1,801,768.5
2023,NE,"Electric Generators, Electric Utilities",Other,1,1,1,1
2023,NE,"Electric Generators, Electric Utilities",Other Biomass,11,2,11.2,11
2023,NE,"Electric Generators, Electric Utilities",Petroleum,93,39,426.2,363.6
2023,NE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,3,2,3.8,2.6
2023,NE,"Electric Generators, Electric Utilities",Wind,3,2,60.6,60.8
2023,NE,"Electric Generators, Independent Power Producers",All Sources,55,44,3506.3,3499.4
2023,NE,"Electric Generators, Independent Power Producers",Other,4,4,5,3.9
2023,NE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,11,11,37.9,38
2023,NE,"Electric Generators, Independent Power Producers",Wind,40,32,3463.4,3457.5
2023,NE,Industrial Power,All Sources,3,3,86.4,74.5
2023,NE,Industrial Power,Coal,2,2,79.3,68.9
2023,NE,Industrial Power,Natural Gas,1,1,7.1,5.6
2023,NE,Total Electric Power Industry,All Sources,301,125,11347.7,10780.9
2023,NE,Total Electric Power Industry,Coal,16,9,3977.9,3825.8
2023,NE,Total Electric Power Industry,Hydroelectric,20,10,329.9,279.7
2023,NE,Total Electric Power Industry,Natural Gas,92,33,2225.3,1964
2023,NE,Total Electric Power Industry,Nuclear,1,1,801,768.5
2023,NE,Total Electric Power Industry,Other,5,5,6,4.9
2023,NE,Total Electric Power Industry,Other Biomass,17,4,15.7,15.5
2023,NE,Total Electric Power Industry,Petroleum,93,39,426.2,363.6
2023,NE,Total Electric Power Industry,Solar Thermal and Photovoltaic,14,13,41.7,40.6
2023,NE,Total Electric Power Industry,Wind,43,34,3524,3518.3
2024,NE,Commercial Power,All Sources,6,2,4.5,4.5
2024,NE,Commercial Power,Natural Gas,3,1,1.5,1.5
2024,NE,Commercial Power,Other Biomass,3,1,3,3
2024,NE,"Electric Generators, Electric Utilities",All Sources,238,80,7757.7,7208.8
2024,NE,"Electric Generators, Electric Utilities",Coal,14,7,3898.6,3756.9
2024,NE,"Electric Generators, Electric Utilities",Hydroelectric,20,10,329.9,278.8
2024,NE,"Electric Generators, Electric Utilities",Natural Gas,87,31,2201.6,1942
2024,NE,"Electric Generators, Electric Utilities",Nuclear,1,1,801,768.5
2024,NE,"Electric Generators, Electric Utilities",Other,1,1,1,1
2024,NE,"Electric Generators, Electric Utilities",Other Biomass,11,2,11.2,11
2024,NE,"Electric Generators, Electric Utilities",Petroleum,94,38,436.3,373.7
2024,NE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,9,8,18.7,17.5
2024,NE,"Electric Generators, Electric Utilities",Wind,1,1,59.4,59.4
2024,NE,"Electric Generators, Independent Power Producers",All Sources,56,45,3587.3,3580.4
2024,NE,"Electric Generators, Independent Power Producers",Other,4,4,5,3.9
2024,NE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,12,12,118.9,119
2024,NE,"Electric Generators, Independent Power Producers",Wind,40,32,3463.4,3457.5
2024,NE,Industrial Power,All Sources,3,3,86.4,74.5
2024,NE,Industrial Power,Coal,1,1,71.4,61
2024,NE,Industrial Power,Natural Gas,2,2,15,13.5
2024,NE,Total Electric Power Industry,All Sources,303,130,11435.9,10868.2
2024,NE,Total Electric Power Industry,Coal,15,8,3970,3817.9
2024,NE,Total Electric Power Industry,Hydroelectric,20,10,329.9,278.8
2024,NE,Total Electric Power Industry,Natural Gas,92,34,2218.1,1957
2024,NE,Total Electric Power Industry,Nuclear,1,1,801,768.5
2024,NE,Total Electric Power Industry,Other,5,5,6,4.9
2024,NE,Total Electric Power Industry,Other Biomass,14,3,14.2,14
2024,NE,Total Electric Power Industry,Petroleum,94,38,436.3,373.7
2024,NE,Total Electric Power Industry,Solar Thermal and Photovoltaic,21,20,137.6,136.5
2024,NE,Total Electric Power Industry,Wind,41,33,3522.8,3516.9
